case,bodypart,eff_N0,nz,split
L221,abd,54224,327,train
L220,abd,53568,495,train
L125,abd,51539,658,train
L229,abd,50432,449,train
L193,abd,49447,549,train
L033,abd,48316,529,train
C170,chest,47871,409,train
C030,chest,46583,356,train
C193,chest,46416,384,train
C257,chest,45051,407,train
C099,chest,41423,367,train
C067,chest,40483,415,train
L237,abd,84436,467,test
L057,abd,80746,489,test
L186,abd,61646,535,test
L248,abd,57303,542,test
L145,abd,56909,512,test
L273,abd,56178,524,test
C158,chest,55344,358,test
C296,chest,55208,379,test
C160,chest,51346,365,test
C267,chest,51045,383,test
C111,chest,49688,355,test
C012,chest,48942,401,test
